ts_event,symbol,best_level_ofi,integrated_ofi,multi_level_ofi
2024-10-21 12:17:37.718594298+00:00,AAPL,0,-68.47557719226168,-200
2024-10-21 12:17:37.718605853+00:00,AAPL,0,107.23960430339216,400
2024-10-21 12:17:38.521127910+00:00,AAPL,0,59.47718917965571,400
2024-10-21 12:17:39.973547435+00:00,AAPL,0,-288.6652746825279,-870
2024-10-21 12:17:39.973585910+00:00,AAPL,0,-17.811033194348155,-27
2024-10-21 12:17:47.135873221+00:00,AAPL,0,-9.903850027043735,0
2024-10-21 12:17:47.135873221+00:00,AAPL,-10,-755.9977867871967,-2409
2024-10-21 12:17:47.135873221+00:00,AAPL,-141,-1058.766517525516,-2509
2024-10-21 12:17:47.135900626+00:00,AAPL,50,578.8255386646067,1647
2024-10-21 12:17:47.135905168+00:00,AAPL,100,503.91448449551467,1746
2024-10-21 12:17:47.135906292+00:00,AAPL,100,517.6681129804372,1783
2024-10-21 12:17:47.135913885+00:00,AAPL,162,484.59898952041283,1940
2024-10-21 12:17:47.135916592+00:00,AAPL,0,-68.71124529523563,-100
2024-10-21 12:17:47.135925594+00:00,AAPL,0,-39.189713609652706,-100
2024-10-21 12:17:47.135933669+00:00,AAPL,0,493.24272869052237,1540
2024-10-21 12:17:47.135937314+00:00,AAPL,0,23.103500280324734,100
2024-10-21 12:17:47.135940686+00:00,AAPL,0,-68.71124529523563,-100
2024-10-21 12:17:47.135946914+00:00,AAPL,-35,-495.7773209400351,-1610
2024-10-21 12:17:47.135952535+00:00,AAPL,0,-431.180700571702,-1478
2024-10-21 12:17:47.135958456+00:00,AAPL,-400,-621.3842237266066,-2378
2024-10-21 12:17:47.135968023+00:00,AAPL,0,-589.872800149864,-2018
2024-10-21 12:17:47.136008874+00:00,AAPL,0,7.441409774631126,100
2024-10-21 12:17:47.136054541+00:00,AAPL,0,7.441409774631126,100
2024-10-21 12:17:47.136218636+00:00,AAPL,0,7.441409774631126,100
2024-10-21 12:17:47.136225295+00:00,AAPL,0,7.441409774631126,100
2024-10-21 12:17:47.136565013+00:00,AAPL,35,502.68243251617207,1653
2024-10-21 12:17:47.137037920+00:00,AAPL,-35,-522.4901325702596,-1653
2024-10-21 12:17:47.156890091+00:00,AAPL,200,590.1572572319764,2178
2024-10-21 12:17:47.189701537+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:17:47.200038724+00:00,AAPL,-200,-21.323116467586477,-200
2024-10-21 12:17:47.200048226+00:00,AAPL,-200,-609.9649572860639,-2178
2024-10-21 12:17:47.200058794+00:00,AAPL,0,339.76786198410974,1151
2024-10-21 12:17:47.203657195+00:00,AAPL,-27,-569.2602806277688,-2378
2024-10-21 12:17:47.203729908+00:00,AAPL,0,230.82444945680433,779
2024-10-21 12:17:47.207076580+00:00,AAPL,0,-320.0131887175913,-1179
2024-10-21 12:17:47.240037346+00:00,AAPL,0,265.51496906015404,979
2024-10-21 12:17:47.240066169+00:00,AAPL,0,-518.0125513293307,-1646
2024-10-21 12:17:47.260085243+00:00,AAPL,0,48.667877138174205,200
2024-10-21 12:17:47.386463721+00:00,AAPL,-50,-598.6332387186942,-1647
2024-10-21 12:17:57.663911195+00:00,AAPL,0,-1.996666859739312,27
2024-10-21 12:17:57.664016909+00:00,AAPL,0,533.3730192838169,1370
2024-10-21 12:17:57.861764830+00:00,AAPL,0,-558.0373920823733,-1398
2024-10-21 12:17:57.861778012+00:00,AAPL,0,538.2296920282859,1398
2024-10-21 12:17:57.861832789+00:00,AAPL,0,-558.0373920823733,-1398
2024-10-21 12:17:57.861881332+00:00,AAPL,0,538.2296920282859,1398
2024-10-21 12:17:57.862245512+00:00,AAPL,0,-553.1807193379044,-1370
2024-10-21 12:17:57.917042270+00:00,AAPL,0,59.47718917965571,400
2024-10-21 12:17:58.077227750+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:00.232353557+00:00,AAPL,0,-18.396750466000334,-29
2024-10-21 12:18:00.862130755+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:18:01.682081842+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:01.684033789+00:00,AAPL,0,-886.3003967109481,-3399
2024-10-21 12:18:01.684046790+00:00,AAPL,0,866.4926966568606,3399
2024-10-21 12:18:02.545068859+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:03.624100762+00:00,AAPL,0,-886.3003967109481,-3399
2024-10-21 12:18:03.624112266+00:00,AAPL,0,866.4926966568606,3399
2024-10-21 12:18:03.629412395+00:00,AAPL,0,-250.63214951089182,-779
2024-10-21 12:18:03.629498033+00:00,AAPL,0,-5.394082478608271,26
2024-10-21 12:18:03.696618449+00:00,AAPL,0,264.9292517885019,977
2024-10-21 12:18:04.737516809+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:05.203361341+00:00,AAPL,0,-886.3003967109481,-3399
2024-10-21 12:18:05.203373864+00:00,AAPL,0,866.4926966568606,3399
2024-10-21 12:18:08.259009052+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:08.926535769+00:00,AAPL,0,-886.3003967109481,-3399
2024-10-21 12:18:08.926548505+00:00,AAPL,0,866.4926966568606,3399
2024-10-21 12:18:10.662438649+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:11.927260518+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:18:20.285727761+00:00,AAPL,0,-1.4109495880871332,29
2024-10-21 12:18:20.285772241+00:00,AAPL,0,533.3730192838169,1370
2024-10-21 12:18:20.342095696+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:20.342109232+00:00,AAPL,50,27.64148618644167,250
2024-10-21 12:18:30.059494751+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:18:30.076519305+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:18:38.165859345+00:00,AAPL,-50,-560.7187560944923,-1447
2024-10-21 12:18:38.165871291+00:00,AAPL,50,540.9110560404048,1447
2024-10-21 12:18:38.170782768+00:00,AAPL,0,-284.7369518425894,-977
2024-10-21 12:18:38.170792741+00:00,AAPL,0,48.667877138174205,200
2024-10-21 12:18:38.189694615+00:00,AAPL,0,-473.5039991639529,-1087
2024-10-21 12:18:38.189791855+00:00,AAPL,0,398.52198756351646,888
2024-10-21 12:18:40.408086849+00:00,AAPL,0,-418.32968761760395,-888
2024-10-21 12:18:40.408137058+00:00,AAPL,0,397.9362702918643,886
2024-10-21 12:18:41.179991523+00:00,AAPL,0,-417.74397034595177,-886
2024-10-21 12:18:41.180118662+00:00,AAPL,0,454.39010950193244,1091
2024-10-21 12:18:41.233925482+00:00,AAPL,200,450.97255078909757,2181
2024-10-21 12:18:44.453502831+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:18:44.458571638+00:00,AAPL,-200,-470.78025084318506,-2181
2024-10-21 12:18:44.458583443+00:00,AAPL,0,48.667877138174205,200
2024-10-21 12:18:44.477818456+00:00,AAPL,0,-474.19780955601993,-1091
2024-10-21 12:18:44.477924999+00:00,AAPL,0,398.52198756351646,888
2024-10-21 12:18:47.144489374+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:18:47.206323404+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:47.260861161+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:18:47.260873969+00:00,AAPL,200,-33.17510318985071,0
2024-10-21 12:18:47.459461214+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:18:47.513983492+00:00,AAPL,-200,-21.323116467586477,-200
2024-10-21 12:18:47.513995474+00:00,AAPL,200,458.35764707255277,2179
2024-10-21 12:18:48.012656935+00:00,AAPL,-50,-560.7187560944923,-1447
2024-10-21 12:18:48.012670562+00:00,AAPL,0,538.0562394302691,1397
2024-10-21 12:18:48.012835297+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:18:48.013209412+00:00,AAPL,0,-553.1807193379044,-1370
2024-10-21 12:18:48.013312876+00:00,AAPL,0,-18.10389183017425,-28
2024-10-21 12:18:48.070285169+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:48.070297042+00:00,AAPL,50,27.64148618644167,250
2024-10-21 12:18:48.199908254+00:00,AAPL,-200,-478.16534712664026,-2179
2024-10-21 12:18:48.199920865+00:00,AAPL,0,273.4857826152615,979
2024-10-21 12:18:48.199942139+00:00,AAPL,0,-293.293482669349,-979
2024-10-21 12:18:48.200029266+00:00,AAPL,0,297.0741315413036,978
2024-10-21 12:18:48.200502296+00:00,AAPL,0,-258.3101044301731,-778
2024-10-21 12:18:48.200553666+00:00,AAPL,0,344.62720301965396,978
2024-10-21 12:18:48.213222660+00:00,AAPL,0,-364.43490307374145,-978
2024-10-21 12:18:49.922943623+00:00,AAPL,0,-1.7038082239132226,28
2024-10-21 12:18:49.923091366+00:00,AAPL,0,533.3730192838169,1370
2024-10-21 12:18:51.254925630+00:00,AAPL,0,25.07952821213208,201
2024-10-21 12:18:51.423329256+00:00,AAPL,0,-553.1807193379044,-1370
2024-10-21 12:18:51.423381788+00:00,AAPL,0,533.3730192838169,1370
2024-10-21 12:18:51.430250460+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:18:53.922913086+00:00,AAPL,0,237.91433042340373,777
2024-10-21 12:19:00.083834280+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:19:00.083843895+00:00,AAPL,0,-292.705408716667,-978
2024-10-21 12:19:00.083854884+00:00,AAPL,0,272.89770866257953,978
2024-10-21 12:19:00.143474250+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:19:00.197516009+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:19:00.198016624+00:00,AAPL,0,-257.7220304774912,-777
2024-10-21 12:19:00.198056773+00:00,AAPL,0,-1.996666859739312,27
2024-10-21 12:19:00.251362837+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:19:00.251375630+00:00,AAPL,200,209.6585340335973,1400
2024-10-21 12:19:02.578739513+00:00,AAPL,-200,-637.892071678245,-2288
2024-10-21 12:19:02.578752989+00:00,AAPL,0,433.21250716686615,1088
2024-10-21 12:19:02.578784855+00:00,AAPL,0,-453.02020722095364,-1088
2024-10-21 12:19:02.583722081+00:00,AAPL,0,448.8936729256039,1060
2024-10-21 12:19:05.633956677+00:00,AAPL,200,217.85857583672782,1428
2024-10-21 12:19:06.744561325+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:19:07.485167707+00:00,AAPL,-200,-637.892071678245,-2288
2024-10-21 12:19:07.485180575+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:19:07.567472916+00:00,AAPL,0,423.8682565615588,1399
2024-10-21 12:19:07.624621845+00:00,AAPL,0,-434.89019754086354,-1369
2024-10-21 12:19:08.123983275+00:00,AAPL,-50,-560.7187560944923,-1447
2024-10-21 12:19:08.201710146+00:00,AAPL,50,540.9110560404048,1447
2024-10-21 12:19:10.540372657+00:00,AAPL,0,433.21250716686615,1088
2024-10-21 12:19:10.824415398+00:00,AAPL,0,0.9327848385211226,39
